Key,Values,Level,Message
<class>impl.StatisticsPublisher.java</class><start>93</start><end>94</end>,"['VariableDeclarationStatement', 'VariableDeclarationFragment', 'CastExpression', 'MethodInvocation', 'StringLiteral', 'IfStatement', 'PrefixExpression', 'MethodInvocation', 'StringLiteral', 'ReturnStatement', 'IfStatement', 'InfixExpression', 'MethodInvocation', 'StringLiteral', 'NullLiteral', 'ReturnStatement', 'TryStatement', 'VariableDeclarationStatement', 'VariableDeclarationFragment', 'MethodInvocation', 'VariableDeclarationStatement', 'VariableDeclarationFragment', 'MethodInvocation', 'MethodInvocation', 'VariableDeclarationStatement', 'Modifier', 'VariableDeclarationFragment', 'MethodInvocation', 'ExpressionStatement', 'MethodInvocation', 'BooleanLiteral', 'ExpressionStatement', 'MethodInvocation', 'MethodInvocation', 'MethodInvocation', 'CatchClause']",warn,Error publishing StatisticsMXBean
<class>docker.ExampleServlet.java</class><start>39</start><end>42</end>,[],info,Client  |  request received on 
<class>provider.BookingServiceJdbcImpl.java</class><start>83</start><end>84</end>,"['ExpressionStatement', 'MethodInvocation', 'MethodInvocation']",debug,Datasource {} 
<class>provider.BookingServiceJdbcImpl.java</class><start>87</start><end>88</end>,"['TryStatement', 'VariableDeclarationExpression', 'VariableDeclarationFragment', 'MethodInvocation', 'ExpressionStatement', 'MethodInvocation', 'CatchClause']",error,Error creating table 
<class>provider.BookingServiceJdbcImpl.java</class><start>106</start><end>109</end>,"['VariableDeclarationStatement', 'VariableDeclarationFragment', 'VariableDeclarationStatement', 'VariableDeclarationFragment', 'TryStatement', 'ExpressionStatement', 'Assignment', 'MethodInvocation', 'ExpressionStatement', 'Assignment', 'MethodInvocation', 'NullLiteral', 'StringLiteral', 'StringLiteral', 'NullLiteral', 'IfStatement', 'PrefixExpression', 'MethodInvocation', 'VariableDeclarationStatement', 'VariableDeclarationFragment', 'Assignment']",info,Tables does not exist
<class>provider.BookingServiceJdbcImpl.java</class><start>116</start><end>117</end>,"['VariableDeclarationStatement', 'VariableDeclarationFragment', 'VariableDeclarationStatement', 'VariableDeclarationFragment', 'TryStatement', 'ExpressionStatement', 'Assignment', 'MethodInvocation', 'ExpressionStatement', 'Assignment', 'MethodInvocation', 'NullLiteral', 'StringLiteral', 'StringLiteral', 'NullLiteral', 'IfStatement', 'PrefixExpression', 'MethodInvocation', 'VariableDeclarationStatement', 'VariableDeclarationFragment', 'Assignment', 'TryStatement', 'VariableDeclarationExpression', 'VariableDeclarationFragment', 'MethodInvocation', 'ForStatement', 'VariableDeclarationExpression', 'VariableDeclarationFragment', 'NumberLiteral', 'InfixExpression', 'PostfixExpression', 'ExpressionStatement', 'MethodInvocation', 'ArrayAccess', 'IfStatement', 'InfixExpression', 'FieldAccess', 'MethodInvocation', 'NumberLiteral', 'ThrowStatement', 'ClassInstanceCreation', 'StringLiteral']",info,Schema and tables has been created
<class>provider.BookingServiceJdbcImpl.java</class><start>118</start><end>119</end>,"['VariableDeclarationStatement', 'VariableDeclarationFragment', 'VariableDeclarationStatement', 'VariableDeclarationFragment', 'TryStatement', 'ExpressionStatement', 'Assignment', 'MethodInvocation', 'ExpressionStatement', 'Assignment', 'MethodInvocation', 'NullLiteral', 'StringLiteral', 'StringLiteral', 'NullLiteral', 'IfStatement', 'PrefixExpression', 'MethodInvocation', 'VariableDeclarationStatement', 'VariableDeclarationFragment', 'Assignment', 'TryStatement', 'VariableDeclarationExpression', 'VariableDeclarationFragment', 'MethodInvocation', 'ForStatement', 'VariableDeclarationExpression', 'VariableDeclarationFragment', 'NumberLiteral', 'InfixExpression', 'PostfixExpression', 'ExpressionStatement', 'MethodInvocation', 'ArrayAccess', 'IfStatement', 'InfixExpression', 'FieldAccess', 'MethodInvocation', 'NumberLiteral', 'ThrowStatement', 'ClassInstanceCreation', 'StringLiteral', 'CatchClause']",error,Can't create tables
<class>provider.BookingServiceJdbcImpl.java</class><start>121</start><end>122</end>,"['VariableDeclarationStatement', 'VariableDeclarationFragment', 'VariableDeclarationStatement', 'VariableDeclarationFragment', 'TryStatement', 'ExpressionStatement', 'Assignment', 'MethodInvocation', 'ExpressionStatement', 'Assignment', 'MethodInvocation', 'NullLiteral', 'StringLiteral', 'StringLiteral', 'NullLiteral', 'IfStatement', 'PrefixExpression', 'MethodInvocation', 'VariableDeclarationStatement', 'VariableDeclarationFragment', 'Assignment', 'TryStatement', 'VariableDeclarationExpression', 'VariableDeclarationFragment', 'MethodInvocation', 'ForStatement', 'VariableDeclarationExpression', 'VariableDeclarationFragment', 'NumberLiteral', 'InfixExpression', 'PostfixExpression', 'ExpressionStatement', 'MethodInvocation', 'ArrayAccess', 'IfStatement', 'InfixExpression', 'FieldAccess', 'MethodInvocation', 'NumberLiteral', 'ThrowStatement', 'ClassInstanceCreation', 'StringLiteral', 'CatchClause']",info,Tables already exist
<class>provider.BookingServiceJdbcImpl.java</class><start>124</start><end>125</end>,"['VariableDeclarationStatement', 'VariableDeclarationFragment', 'VariableDeclarationStatement', 'VariableDeclarationFragment', 'TryStatement', 'ExpressionStatement', 'Assignment', 'MethodInvocation', 'ExpressionStatement', 'Assignment', 'MethodInvocation', 'NullLiteral', 'StringLiteral', 'StringLiteral', 'NullLiteral', 'IfStatement', 'PrefixExpression', 'MethodInvocation', 'VariableDeclarationStatement', 'VariableDeclarationFragment', 'Assignment', 'TryStatement', 'VariableDeclarationExpression', 'VariableDeclarationFragment', 'MethodInvocation', 'ForStatement', 'VariableDeclarationExpression', 'VariableDeclarationFragment', 'NumberLiteral', 'InfixExpression', 'PostfixExpression', 'ExpressionStatement', 'MethodInvocation', 'ArrayAccess', 'IfStatement', 'InfixExpression', 'FieldAccess', 'MethodInvocation', 'NumberLiteral', 'ThrowStatement', 'ClassInstanceCreation', 'StringLiteral', 'CatchClause', 'CatchClause']",error,Can't verify tables existence
<class>provider.BookingServiceJdbcImpl.java</class><start>146</start><end>147</end>,"['VariableDeclarationStatement', 'VariableDeclarationFragment', 'ClassInstanceCreation', 'TryStatement', 'VariableDeclarationExpression', 'VariableDeclarationFragment', 'MethodInvocation', 'TryStatement', 'VariableDeclarationExpression', 'VariableDeclarationFragment', 'MethodInvocation', 'VariableDeclarationStatement', 'VariableDeclarationFragment', 'MethodInvocation', 'WhileStatement', 'MethodInvocation', 'VariableDeclarationStatement', 'VariableDeclarationFragment', 'ClassInstanceCreation', 'ExpressionStatement', 'MethodInvocation', 'MethodInvocation', 'StringLiteral', 'ExpressionStatement', 'MethodInvocation', 'MethodInvocation', 'StringLiteral', 'ExpressionStatement', 'MethodInvocation', 'MethodInvocation', 'StringLiteral', 'ExpressionStatement', 'MethodInvocation', 'CatchClause']",error,Can't retreive the bookings
