Key,Values,Level,Message
<class>cdi.ConversationPropagator.java</class><start>105</start><end>109</end>,"['ReturnStatement', 'ExpressionStatement', 'MethodInvocation', 'StringLiteral', 'IfStatement', 'MethodInvocation', 'ExpressionStatement', 'MethodInvocation', 'StringLiteral', 'ExpressionStatement', 'MethodInvocation']",debug,Activating conversation {}
<class>cdi.ConversationPropagator.java</class><start>107</start><end>109</end>,"['ExpressionStatement', 'MethodInvocation', 'StringLiteral', 'IfStatement', 'MethodInvocation', 'ExpressionStatement', 'MethodInvocation', 'StringLiteral', 'ExpressionStatement', 'MethodInvocation']",debug,Activating conversation {}
<class>cdi.ConversationPropagator.java</class><start>137</start><end>138</end>,"['NullLiteral', 'TryStatement', 'IfStatement', 'MethodInvocation', 'VariableDeclarationStatement', 'VariableDeclarationFragment', 'MethodInvocation', 'MethodInvocation', 'MethodInvocation', 'MethodInvocation', 'VariableDeclarationStatement', 'VariableDeclarationFragment', 'MethodInvocation', 'ReturnStatement', 'IfStatement', 'InfixExpression', 'InfixExpression', 'NullLiteral', 'InfixExpression', 'NullLiteral', 'CatchClause']",debug,There is no active context for the requested scope!
<class>cdi.ConversationPropagator.java</class><start>143</start><end>145</end>,"['NullLiteral', 'TryStatement', 'IfStatement', 'MethodInvocation', 'VariableDeclarationStatement', 'VariableDeclarationFragment', 'MethodInvocation', 'MethodInvocation', 'MethodInvocation', 'MethodInvocation', 'VariableDeclarationStatement', 'VariableDeclarationFragment', 'MethodInvocation', 'ReturnStatement', 'IfStatement', 'InfixExpression', 'InfixExpression', 'NullLiteral', 'InfixExpression', 'NullLiteral', 'CatchClause', 'ReturnStatement', 'VariableDeclarationStatement', 'VariableDeclarationFragment', 'MethodInvocation', 'IfStatement', 'InfixExpression', 'InfixExpression', 'NullLiteral', 'PrefixExpression', 'MethodInvocation', 'MethodInvocation', 'IfStatement', 'MethodInvocation', 'MethodInvocation', 'ThrowStatement', 'ClassInstanceCreation', 'NullLiteral', 'StringLiteral']",info,Conversation {} has expired for {}
<class>cdi.ConversationPropagator.java</class><start>176</start><end>179</end>,"['IfStatement', 'InstanceofExpression', 'VariableDeclarationStatement', 'VariableDeclarationFragment', 'MethodInvocation', 'CastExpression', 'IfStatement', 'InfixExpression', 'NullLiteral', 'IfStatement', 'InstanceofExpression', 'TryStatement', 'IfStatement', 'InstanceofExpression', 'MethodInvocation', 'ParenthesizedExpression', 'CastExpression', 'ExpressionStatement', 'MethodInvocation', 'NullLiteral', 'ReturnStatement', 'ReturnStatement', 'NullLiteral', 'CatchClause', 'IfStatement', 'MethodInvocation', 'ReturnStatement', 'IfStatement', 'MethodInvocation', 'MethodInvocation', 'ReturnStatement', 'NullLiteral', 'ExpressionStatement', 'MethodInvocation', 'MethodInvocation']",debug,Propagating non-transient conversation {} via url
<class>cdi.ConversationPropagator.java</class><start>190</start><end>193</end>,"['IfStatement', 'InfixExpression', 'InfixExpression', 'NullLiteral', 'PrefixExpression', 'MethodInvocation', 'IfStatement', 'PrefixExpression', 'MethodInvocation', 'MethodInvocation', 'ReturnStatement', 'ReturnStatement', 'EnhancedForStatement', 'MethodInvocation']",debug,Activating conversation {}
<class>cdi.ConversationPropagator.java</class><start>200</start><end>204</end>,"['IfStatement', 'InfixExpression', 'InfixExpression', 'NullLiteral', 'PrefixExpression', 'MethodInvocation', 'IfStatement', 'PrefixExpression', 'MethodInvocation', 'MethodInvocation', 'ReturnStatement', 'ReturnStatement', 'EnhancedForStatement', 'MethodInvocation', 'TryStatement', 'IfStatement', 'InstanceofExpression', 'ExpressionStatement', 'MethodInvocation', 'ExpressionStatement', 'MethodInvocation', 'ExpressionStatement', 'MethodInvocation', 'ParenthesizedExpression', 'CastExpression', 'CatchClause', 'ExpressionStatement', 'MethodInvocation', 'ThrowStatement', 'ClassInstanceCreation', 'MethodInvocation']",info,Unable to restore conversation with id {}
<class>cdi.ConversationPropagator.java</class><start>123</start><end>210</end>,"['ExpressionStatement', 'MethodInvocation', 'BooleanLiteral', 'ExpressionStatement', 'Assignment', 'FieldAccess', 'ThisExpression', 'EnhancedForStatement', 'MethodInvocation', 'ExpressionStatement', 'Assignment', 'FieldAccess', 'ThisExpression', 'ExpressionStatement', 'Assignment', 'FieldAccess', 'ThisExpression', 'IfStatement', 'InstanceofExpression', 'ExpressionStatement', 'Assignment', 'FieldAccess', 'ThisExpression', 'ExpressionStatement', 'MethodInvocation', 'ParenthesizedExpression', 'CastExpression', 'ExpressionStatement', 'MethodInvocation', 'MethodInvocation', 'ThisExpression', 'ReturnStatement', 'ConditionalExpression', 'MethodInvocation', 'MethodInvocation', 'NullLiteral', 'TryStatement', 'IfStatement', 'MethodInvocation', 'VariableDeclarationStatement', 'VariableDeclarationFragment', 'MethodInvocation', 'MethodInvocation', 'MethodInvocation', 'MethodInvocation', 'VariableDeclarationStatement', 'VariableDeclarationFragment', 'MethodInvocation', 'ReturnStatement', 'IfStatement', 'InfixExpression', 'InfixExpression', 'NullLiteral', 'InfixExpression', 'NullLiteral', 'CatchClause', 'ReturnStatement', 'VariableDeclarationStatement', 'VariableDeclarationFragment', 'MethodInvocation', 'IfStatement', 'InfixExpression', 'InfixExpression', 'NullLiteral', 'PrefixExpression', 'MethodInvocation', 'MethodInvocation', 'IfStatement', 'MethodInvocation', 'MethodInvocation', 'ThrowStatement', 'ClassInstanceCreation', 'NullLiteral', 'StringLiteral', 'MethodInvocation', 'ExpressionStatement', 'MethodInvocation', 'VariableDeclarationStatement', 'VariableDeclarationFragment', 'MethodInvocation', 'IfStatement', 'InfixExpression', 'NullLiteral', 'ExpressionStatement', 'MethodInvocation', 'MethodInvocation', 'ExpressionStatement', 'MethodInvocation', 'MethodInvocation', 'IfStatement', 'InstanceofExpression', 'VariableDeclarationStatement', 'VariableDeclarationFragment', 'MethodInvocation', 'ParenthesizedExpression', 'CastExpression', 'IfStatement', 'InstanceofExpression', 'VariableDeclarationStatement', 'VariableDeclarationFragment', 'MethodInvocation', 'CastExpression', 'IfStatement', 'InfixExpression', 'NullLiteral', 'IfStatement', 'InstanceofExpression', 'TryStatement', 'IfStatement', 'InstanceofExpression', 'MethodInvocation', 'ParenthesizedExpression', 'CastExpression', 'ExpressionStatement', 'MethodInvocation', 'NullLiteral', 'ReturnStatement', 'ReturnStatement', 'NullLiteral', 'CatchClause', 'IfStatement', 'MethodInvocation', 'ReturnStatement', 'IfStatement', 'MethodInvocation', 'MethodInvocation', 'ReturnStatement', 'NullLiteral', 'ExpressionStatement', 'MethodInvocation', 'MethodInvocation', 'ExpressionStatement', 'MethodInvocation', 'MethodInvocation', 'VariableDeclarationStatement', 'VariableDeclarationFragment', 'MethodInvocation', 'IfStatement', 'InfixExpression', 'InfixExpression', 'NullLiteral', 'PrefixExpression', 'MethodInvocation', 'IfStatement', 'PrefixExpression', 'MethodInvocation', 'MethodInvocation', 'ReturnStatement', 'ReturnStatement', 'EnhancedForStatement', 'MethodInvocation', 'TryStatement', 'IfStatement', 'InstanceofExpression', 'ExpressionStatement', 'MethodInvocation', 'ExpressionStatement', 'MethodInvocation', 'ExpressionStatement', 'MethodInvocation', 'ParenthesizedExpression', 'CastExpression', 'CatchClause', 'ExpressionStatement', 'MethodInvocation', 'ThrowStatement', 'ClassInstanceCreation', 'MethodInvocation', 'ExpressionStatement', 'MethodInvocation', 'BooleanLiteral']",info,Conversation {} has expired for {}
<class>cdi.ConversationPropagator.java</class><start>137</start><end>139</end>,"['NullLiteral', 'TryStatement', 'IfStatement', 'MethodInvocation', 'VariableDeclarationStatement', 'VariableDeclarationFragment', 'MethodInvocation', 'MethodInvocation', 'MethodInvocation', 'MethodInvocation', 'VariableDeclarationStatement', 'VariableDeclarationFragment', 'MethodInvocation', 'ReturnStatement', 'IfStatement', 'InfixExpression', 'InfixExpression', 'NullLiteral', 'InfixExpression', 'NullLiteral', 'CatchClause', 'ReturnStatement']",debug,There is no active context for the requested scope!
<class>cdi.ConversationPropagator.java</class><start>143</start><end>148</end>,"['NullLiteral', 'TryStatement', 'IfStatement', 'MethodInvocation', 'VariableDeclarationStatement', 'VariableDeclarationFragment', 'MethodInvocation', 'MethodInvocation', 'MethodInvocation', 'MethodInvocation', 'VariableDeclarationStatement', 'VariableDeclarationFragment', 'MethodInvocation', 'ReturnStatement', 'IfStatement', 'InfixExpression', 'InfixExpression', 'NullLiteral', 'InfixExpression', 'NullLiteral', 'CatchClause', 'ReturnStatement', 'VariableDeclarationStatement', 'VariableDeclarationFragment', 'MethodInvocation', 'IfStatement', 'InfixExpression', 'InfixExpression', 'NullLiteral', 'PrefixExpression', 'MethodInvocation', 'MethodInvocation', 'IfStatement', 'MethodInvocation', 'MethodInvocation', 'ThrowStatement', 'ClassInstanceCreation', 'NullLiteral', 'StringLiteral', 'MethodInvocation', 'ExpressionStatement', 'MethodInvocation', 'VariableDeclarationStatement', 'VariableDeclarationFragment', 'MethodInvocation']",info,Conversation {} has expired for {}
