test_set,metric,model_type,n,mean,std,min,max,range
karaf,accuracy,onehot,30,0.2854129711073822,0.024132116528330076,0.245664739884393,0.3511560693641618,0.10549132947976883
karaf,accuracy,ordinal,30,0.301311145235401,0.021517970959583285,0.2585641020506258,0.3452436348659542,0.08667953281532842
karaf,auc,onehot,30,0.59472960817591,0.011877795809151406,0.5689771471265408,0.613836906949858,0.04485975982331725
karaf,auc,ordinal,30,0.6132504578439728,0.013087187094556715,0.5920925634016362,0.6415726295918548,0.04948006619021861
karaf,aod,onehot,30,0.5827874667709635,0.029775713344454852,0.5285404324531555,0.6404142379760742,0.1118738055229187
karaf,aod,ordinal,30,0.6301774094604192,0.01849662721949042,0.5862234234809875,0.6729334688186646,0.08671004533767701
test_internal,accuracy,onehot,30,0.5147658461003979,0.02046781968388701,0.4698795180722891,0.5491566265060241,0.07927710843373503
test_internal,accuracy,ordinal,30,0.47946522245498835,0.019169194182080504,0.4436350447607299,0.5240963855421686,0.08046134078143874
test_internal,auc,onehot,30,0.7820082198336998,0.014070277606548406,0.7447648839089958,0.800112061518968,0.05534717760997221
test_internal,auc,ordinal,30,0.7646870600747525,0.01318909030447585,0.7399850349236395,0.7879671533632779,0.0479821184396384
test_internal,aod,onehot,30,0.7016638130298481,0.018169534135062587,0.6593875288963318,0.7462348937988281,0.08684736490249634
test_internal,aod,ordinal,30,0.720325665582821,0.01502840452399818,0.690570989850801,0.7545180916786194,0.06394710182781838
wicket,accuracy,onehot,30,0.23179214746352528,0.019876507742726115,0.196788554801985,0.2727272727272727,0.0759387179252877
wicket,accuracy,ordinal,30,0.25303622430801165,0.0161690078104593,0.2219873150105708,0.2896405919661733,0.0676532769556025
wicket,auc,onehot,30,0.6026485255513722,0.01967969431284532,0.5666826232334387,0.6353500885667536,0.06866746533331491
wicket,auc,ordinal,30,0.6028521614109065,0.021325785194334135,0.5621155013720096,0.6387671848012493,0.07665168342923967
wicket,aod,onehot,30,0.5782734662193627,0.01914623640225438,0.5405637526512146,0.6187455654144287,0.07818181276321412
wicket,aod,ordinal,30,0.6233581970268741,0.015022802342195458,0.5912614464759827,0.6507681703567505,0.05950672388076783
